Geographic_area,Indicator,Service_Type,Residence,Time_period,Observation_Value,ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level,Residence_type,Service_type,Service_level,country_name,indicator_name,value,year
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018.0,26.1683944374206,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019.0,24.25676359039175,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020.0,22.34513274336245,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021.0,20.4335018963336,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017.0,30.66036380467062,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018.0,27.88862011756805,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019.0,25.11687643046456,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020.0,22.34513274336199,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021.0,19.573389056259415,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,28.44652338811647,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018.0,30.358154235145776,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019.0,32.26978508217462,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020.0,34.18141592920392,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021.0,36.09304677623277,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,25.86618486789575,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018.0,28.63792855499833,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019.0,31.40967224210181,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020.0,34.18141592920438,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021.0,36.953159616306955,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,6.540999999999997,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2017.0,7.563025210084033,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2018.0,7.563025210084033,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2019.0,7.563025210084033,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2020.0,7.563025210084033,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2021.0,7.563025210084033,,,,,,,,,,,,,,,
