unnamed: 2,unnamed: 11,source,geographic_area,indicator,service_type,residence,time_period,observation_value,geographic area,service type,type of school,unit of measure,obs_value,data_source,iso3,country,residence type,year,coverage,population,service level,residence_type,service_level,country_name,indicator_name,value
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2017.0,17.67676767676767,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2018.0,17.67676767676767,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2019.0,17.67676767676767,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2020.0,17.67676767676767,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2021.0,17.67676767676767,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2017.0,15.42553191489362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2018.0,15.42553191489362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2019.0,15.42553191489362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2020.0,15.42553191489362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2021.0,15.42553191489362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2017.0,22.87234042553191,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2018.0,22.87234042553191,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2019.0,22.87234042553191,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2020.0,22.87234042553191,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2021.0,22.87234042553191,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2017.0,61.70212765957447,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2018.0,61.70212765957447,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2019.0,61.70212765957447,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2020.0,61.70212765957447,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2021.0,61.70212765957447,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017.0,43.47345132743362,,,,,,,,,,,,,,,,,,
